fname,ridge,rf,lr,gb,xbg,dt,lasso,enr,knn
D1656_D1657_D1658.csv,433846.84179572645,526681.9512100584,113780.80089152786,496303.6015977517,539862.5371727024,8503.417180200393,599500.500814365,493635.8578091868,516495.7763554217
D1660_D1661_D1662.csv,47893.99352648394,18816.000410941215,96750.93628191618,21362.115323918304,22629.191370662775,88928.90345178983,24482.201755711245,27781.578975918157,44679.88761659079
D2059_D2060_D2061.csv,470336.76594326,536176.0861165641,471436.63844270795,559414.2932606824,563941.7797117976,11161.943851786671,601768.3961057932,601768.3961057932,588127.4009768118
D1615_D1616_D1617.csv,1067354.305855494,1007481.1332278596,1067115.8008223935,951364.5283554173,978499.322995177,24088.11746557237,867544.4006404101,873100.9688501836,990979.9088240047
D49_D50_D51.csv,848600.636524323,827107.170322997,901699.5751205882,823735.5760480448,824064.1313286147,991.3055842040241,859090.6250548919,859235.3922933158,825387.3673214745
D1625_D1626_D1627.csv,6615622.788971962,12459691.436584294,3408921.232041635,11988919.062192513,13053187.303096842,348694.2760892839,7498548.683549704,9036000.113753065,11919615.45413908
D152_D153_D154.csv,46573847.13653957,73245717.6147004,46556122.843577705,73587391.33401021,73886793.86284664,7056497.215903677,46281058.405908,46320827.46581099,71819277.03365946
D169_D170_D171.csv,49720057.191254914,41644761.32711732,49824375.71841274,43515741.93868017,40361812.418522224,411984.101073267,49058428.570263594,49183242.72495637,41484530.03080904
D2075_D2076_D2077.csv,10824075.8554773,14213086.332981618,12692111.784980204,14153956.651718473,14392041.472782005,988715.8668900998,10823960.258200673,10697324.596602725,14304219.685513614
D3613_D3614_D3615.csv,40510232.67558658,41347711.88296444,40191612.82929701,41265422.484131224,41470551.28789295,5781.521304596685,40772942.569575615,40521750.99072717,42102495.00915082
D3619_D3620_D3621.csv,2790454.310193671,48773686.36479124,2814781.209972738,47985231.170168124,51203172.21015725,66619493.15502126,39239841.853550635,39239841.853550635,47475090.6692453
D1632_D1633_D1634.csv,32475.44148878447,21427.399433025355,32490.908197805333,21297.956319325313,19905.481148827726,9924.691741918034,29037.753833251038,33392.99984294993,21419.173128749997
D168_D169_D170.csv,45486076.16234199,40033820.84368367,55909361.918391466,40589783.72494905,39046433.8364324,379919.5185041358,45953760.08053084,45972703.46381707,42469308.474400885
D3603_D3604_D3605.csv,3845466.091627213,4152584.4518456967,3788702.281522161,4040784.903087062,4008649.0928652985,11426.066705097644,4088913.9658708014,4032007.0119411824,4076316.6296705874
D175_D176_D177.csv,32939424.68814866,31721857.890690804,32059214.15206052,32276881.939068414,32009521.057089556,153577.13455163926,32957053.90398841,33016637.911694683,32327695.354484253
D145_D146_D147.csv,21228595.015877463,21183163.52513141,21228890.326310553,21164482.89351127,20993264.469570033,1374.7682754995324,21288162.239440314,21221834.852955557,21264397.043679643
D15_D16_D17.csv,3343229.5323707853,2438830.883685182,3343494.6648711907,2574674.9885898633,2479935.9959000004,238161.3596194832,3398347.464625755,3397982.373276244,3322951.36244875
D158_D159_D160.csv,1186701.6193161292,983453.270994201,1147058.6717375286,931069.1656798845,981306.2232758667,27651.65662763674,1096116.2268279977,1118289.5652821648,1220066.5172629287
