fname,ridge,rf,lr,gb,xbg,dt,lasso,enr,knn
D1656_D1657_D1658.csv,468394.71808077313,497722.9046163176,381592.39324131154,498491.8661404584,523686.3508438478,9632.66655282061,482561.1332422724,477846.0147073251,487473.542265184
D1660_D1661_D1662.csv,50463.80618024682,13664.927909531787,50456.236858309385,11791.933283978798,19574.69885920365,98942.04893344379,46398.22493979372,46398.22493979372,50024.66677415567
D2059_D2060_D2061.csv,498033.54254827625,491435.16807106626,501345.456145049,519033.3016140262,488130.6817107682,9612.708636938189,583925.8158066932,583809.1577327845,561283.126271154
D1615_D1616_D1617.csv,540918.8690429094,526973.7040857635,559258.3297970317,498891.7063789928,515304.9819508742,27975.850221305802,533900.7062277283,540889.992973785,530596.5772014926
D49_D50_D51.csv,844473.2096303239,809001.3544894714,845755.8693818346,805944.1681677148,798967.1528510409,1420.4178190759637,836524.5142249231,838272.0549266775,822149.9030608796
D1625_D1626_D1627.csv,7605675.595747485,9885269.704953216,7671308.849389782,9761713.947555814,10075656.839689443,354330.9804631556,7949499.998414166,7113235.3666844275,9478183.497807017
D152_D153_D154.csv,42746223.380502716,67928699.40534131,42849743.83931976,65164974.2961685,64575993.96846793,309219.16529733274,42672074.93969751,42801445.026916854,59782350.286805
D169_D170_D171.csv,47314423.98429981,44523708.01228833,50442552.31004089,44521474.95957432,43724681.63926841,278075.13611553167,45573183.08093914,46272695.97780005,44016865.51278384
D2075_D2076_D2077.csv,10824933.084765296,16543176.946737332,11518309.578410503,16287123.10477433,16124797.116212497,962366.9776630494,10013004.475183032,9934378.77100625,15353721.842833776
D3613_D3614_D3615.csv,35281144.98223977,35695255.48251065,34843352.48617629,35676014.6359472,35955832.57042111,2276.1972280341456,35426777.582545534,35326351.68402478,35962890.03676516
D3619_D3620_D3621.csv,1293537.071049682,1444415.4188002637,9274731.866901726,1446749.5741897977,1447232.1102566086,131.8236111111111,71347.33282351325,800205.2462013843,1443604.4711351236
D1632_D1633_D1634.csv,30307.112824747666,16509.03194897381,30300.051917982095,13196.404839936104,12115.929847191896,16252.509577375611,32040.719090070885,31762.33380988769,15243.787633333333
D168_D169_D170.csv,46431331.81632641,44231585.30384639,54102839.710019074,44219503.40102651,44061075.55949474,264130.68652377673,44377173.87229213,44877369.55294806,44954435.072519824
D3603_D3604_D3605.csv,3379732.1282514324,4009307.1567346426,3268829.2891933625,3979531.115878409,3891878.7639658777,10241.987832332725,4004649.787074844,4004649.787074844,3982107.239226203
D175_D176_D177.csv,34123997.511854194,32581764.0760949,33965587.76009879,32720345.99602519,32536122.196757007,120205.02643754761,33863557.69592104,33961144.29697585,32628974.39777488
