fname,ridge,rf,lr,gb,xbg,dt,lasso,enr,knn
D1656_D1657_D1658.csv,361010.9538235522,492245.44440206635,465499.61646880367,493953.68334404257,513340.0045879398,17617.020747755683,426763.48973734933,429228.6507069712,502990.143226237
D1660_D1661_D1662.csv,107020.24206163686,102052.13424607359,118098.53361411102,100721.88071071204,100203.29414239472,2839.280140204818,71219.3413283139,92010.91786113563,101219.5625
D2059_D2060_D2061.csv,560667.821228177,629059.9468104908,460242.7487581282,644221.1042151732,626637.468990273,2353.0555649111975,611326.6947622937,569018.3330713856,472440.14201666694
D1615_D1616_D1617.csv,197116.6789637594,166468.92566062912,196794.43823786042,181648.49735959285,179140.8602968927,7552.4870125007465,197018.03757042074,197569.19090422068,148391.32130434783
D49_D50_D51.csv,878728.188938474,861133.944890821,876997.7766329251,889164.3961966854,861827.8067007868,395.5767013888898,875892.3176510666,876086.4862024427,870062.358810829
D1625_D1626_D1627.csv,4438627.403452126,3842340.413469583,4665152.418654729,4422938.448103754,3892401.815305563,34017.314295806005,5120673.785311054,4703122.158588661,3868068.321343691
D152_D153_D154.csv,37923270.88337866,33270140.143034916,34701581.04751327,36814427.30577944,32964025.71114266,236211.04409297765,38837603.14319738,37686238.86493222,29489051.9284304
D169_D170_D171.csv,50372385.74294594,44452413.04798844,48305132.94466119,45283873.001035355,44849523.48058123,805118.3613668181,54128506.10679073,54128506.10679073,45259915.77417449
D2075_D2076_D2077.csv,17739005.70312304,29220478.7048638,17722658.710075997,31402958.42023186,28550211.12545408,1300739.5595238095,18032494.887715533,18032494.887715533,26981302.404285718
D3613_D3614_D3615.csv,26586749.86657626,26705139.386652548,26458253.16213587,26701095.331510853,26846861.161091845,438.5089578844778,26662498.891781382,26611023.98632113,26703071.85714839
D3619_D3620_D3621.csv,2143878.974301881,1591091.9437516322,24958822.286259923,1585421.759041989,1585967.731982441,524.7449999999984,477775.341930558,1174119.6682939955,1596048.48805
D1632_D1633_D1634.csv,44030.595167028114,39602.59608579837,44036.12348902774,44037.05481006663,37506.687748844546,1207.765456238809,43892.827299651326,43893.06458552087,44677.42734749999
D168_D169_D170.csv,50753074.655277334,43928779.94135945,50944313.394362055,44013776.446496464,43846098.19096542,838522.8445354659,50216488.71574187,50216488.71574187,44627204.68763084
D3603_D3604_D3605.csv,3743473.988164513,3923692.538967448,3854968.0384567217,3891034.6217936203,3935665.8301675604,3690.8674919487266,3854125.424744001,3778604.664713979,4109913.3277663337
D175_D176_D177.csv,37962935.18961218,33193226.34482018,37318365.330935836,33465749.811780166,33125111.689255487,294942.2462312186,37290763.39063212,37376077.85762787,33465802.56665992
D145_D146_D147.csv,21343476.872810256,20794502.668524664,21343754.034629963,20748681.816732965,20739538.550308447,1625.1695947049172,21322350.958812356,21313604.964023165,21166183.780364417
D15_D16_D17.csv,4103369.6892226166,4027485.227027327,4355930.711195564,4034006.8675186126,3989421.808991573,22381.102369507884,3937666.1757354313,4171976.254644087,4276138.92852
